Bacia;Campo;Estado;Contrato;Concessionária;Ind. Operadora;Percentual de Participação;Mês;Ano;Localização (Terra/Mar);Lâmina D'Água (m);°API;Data Início Produção;Data Descoberta;Área (Km²);Vol. Gás Disponível (Mm³);Produção de Petróleo (m³);Produção de Óleo (m³);Produção de Gás Total(Mm³);Produção de Gás Associado (Mm³);Produção de Gás Não Associado (Mm³);Produção de Condensado (m³);Produção de Água (m³);Vol. Gás Injetado para Armazenamento (Mm³);Vol. Queima de Gás (Mm³);Vol. Gás para Consumo (Mm³);Vol. Gás Royalties (Mm³);Vol. Circulação Gás Lift (Mm³);Vol. Gás Injetado Recup. Secundária (Mm³);Vol. Água Injetado Recup. Secundária (m³);Vol. Água Injetado Descarte (m³);Vol. Água Produzida Descartada (m³)
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;11;2020;MAR;2.269,00;27,70;05/05/2015;07/05/2013;228,891;0,00;183.431,674;183.431,674;40.559,718;40.559,718;0,00;0,00;91,909;0,00;4.105,803;7.418,695;11.452,519;0,00;29.035,219;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;05;2017;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;01;2018;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;07;2019;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;07;2017;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;02;2020;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;12;2018;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;01;2017;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;03;2021;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;-0,00;330.143,619;330.143,619;67.220,057;67.220,057;0,00;0,00;220,924;0,00;1.621,872;8.806,21;10.389,076;0,00;56.791,976;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;01;2020;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;10;2019;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;09;2022;MAR;2.269,00;28,40;05/05/2015;07/05/2013;228,891;0,00;241.127,064;241.127,064;58.075,065;58.075,065;0,00;0,00;249,867;52.491,435;511,13;5.072,501;5.559,553;0,00;0,00;127.272,467;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;06;2017;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Santos;ATAPU;Rio de Janeiro;'48610012913201005';Petróleo Brasileiro S.A.;SIM;100,00;03;2020;MAR;2.269,00;27,90;05/05/2015;07/05/2013;228,891;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
